,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter,score,acronym
210,0.011412258881538517,0.022454224590743754,0.02662394926632694,0.03144812513505446,0.03549178203014247,0.0388142119227346,0.04179870379136097,0.04199435298750931,0.04199435298751697,0.04199435298751231,0.04199435298751519,0.04199435298751519,ORBm5
213,0.013817907882394898,0.01824547239569374,0.020981285664149363,0.022934092835781628,0.02479311900792336,0.02627817312571279,0.02775193496856576,0.027841943782102474,0.0278419437820957,0.02784194378210192,0.027841943782099587,0.027841943782099587,ORBm5
216,0.009116831859981467,0.013076976823955255,0.019690659823392798,0.02594033750765745,0.029635125129900408,0.03166835631482401,0.03212883967483937,0.03252649229187865,0.03252649229187998,0.03252649229188154,0.03252649229188065,0.03252649229188065,ORBm5
217,0.004069377468058022,0.008487096780098735,0.013580585433102144,0.015859374514998303,0.01793740025943691,0.019491023348621406,0.021478138409157355,0.021989797114951748,0.021989797114952303,0.02198979711495075,0.021989797114951082,0.021989797114951082,ORBm5
218,0.04628978078961088,0.06380258720764687,0.07564746084573781,0.08001584387526595,0.08769803647551211,0.09140432391633391,0.09418668906001304,0.09430641517089189,0.09430641517089633,0.09430641517089411,0.09430641517089489,0.09430641517089489,ORBm5
222,0.0027686734459061446,0.006820570254279179,0.009810288329191619,0.012564851930336407,0.01487846185588293,0.016091606642021583,0.01708630217508944,0.017473620114319965,0.017473620114319077,0.017473620114321964,0.017473620114318744,0.017473620114318744,ORBm5
228,0.005128799384972571,0.00919825312513467,0.012379913926515385,0.01522058024361439,0.01819236257273471,0.02129388672263599,0.022908030162131277,0.0240512149689045,0.024051214968907053,0.0240512149689035,0.024051214968903945,0.024051214968903945,ORBm5
229,0.02512973917350525,0.033858496747502964,0.041695533054529,0.04886299674041994,0.05362983692102363,0.05721558537050331,0.06012333545761894,0.06193586186699629,0.061935861866995956,0.061935861866997954,0.06193586186699718,0.06193586186699718,ORBm5
232,0.0201683461409764,0.03291043675675165,0.04172997441976545,0.04690513749064851,0.05132591759769112,0.05638962788028146,0.06024160183467886,0.06037379186206071,0.06037379186206904,0.06037379186207226,0.06037379186206726,0.06037379186206726,ORBm5
235,0.10387104876944608,0.11249688098136468,0.12110259619580799,0.1299019287767189,0.13728889026087476,0.1444602978989581,0.14871483836406296,0.14908182536129622,0.14908182536129733,0.14908182536129588,0.1490818253612911,0.1490818253612911,ORBm5
236,0.06690009776451755,0.0963290428213095,0.10342141886984546,0.10858943715814373,0.11333296733076714,0.11731311396964428,0.12084976675387615,0.12105734312314176,0.1210573431231412,0.12105734312314353,0.12105734312314453,0.12105734312314453,ORBm5
237,0.06580786589902665,0.07907289637956372,0.0888328628279409,0.0982523537315011,0.10186615425456447,0.10496490597020736,0.10620445260988509,0.10724715960102416,0.10724715960103226,0.10724715960101983,0.1072471596010276,0.1072471596010276,PL5
238,0.05211784244431461,0.05956545556107962,0.06863947848800966,0.07178180579262738,0.07264405655737893,0.07322284573738225,0.07419422618546578,0.07419561012406206,0.07419561012406128,0.0741956101240624,0.07419561012406117,0.07419561012406117,PL5
239,0.013310643380863074,0.024920007505312092,0.027852610655758392,0.031310824883196586,0.03275259137628983,0.033610042638460014,0.03419685324345989,0.03448118512380183,0.03448118512379883,0.03448118512380183,0.03448118512380016,0.03448118512380016,PL5
242,0.001954735040604616,0.003693482585315988,0.004059933089276879,0.004373894875408624,0.0046060182279714645,0.004715882282193773,0.004789848049462142,0.004819996133612836,0.004819996133612503,0.004819996133612392,0.004819996133612725,0.004819996133612725,PL5
