,subject,date,eid,region_1,region_2,region_pair,r_opto,r_spont_05,r_spont_95,time
361,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.3116360524289663,-0.3856916347799001,0.508303619302404,-0.7000000000000001
362,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.17341035705487015,-0.37881691264281897,0.47121960132071145,-0.5
363,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.10465766386823738,-0.37588858315711987,0.48203939292047276,-0.30000000000000004
364,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.6018971298418596,-0.3664425796167365,0.4849629234504682,-0.1
365,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.374090793115744,-0.3678541073476316,0.5067132624627523,0.1
366,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,-0.17285657566626403,-0.409040266507628,0.48922835205195175,0.30000000000000004
367,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.27074346139960154,-0.38845891056230253,0.46066706893047316,0.5
368,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.35599680457441757,-0.39275452429159885,0.49572793402894455,0.7000000000000001
369,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.0371530155197651,-0.37719611605222736,0.45782806451432567,0.9
370,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.2901476727170312,-0.38971266591777964,0.4719957415090162,1.1
371,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.23234159787109776,-0.3544317423430098,0.48844848439755495,1.3000000000000003
372,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.5244477496092411,-0.3875008875358803,0.4788069943221768,1.5
373,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.39505325290830356,-0.33644957661054925,0.476069928699616,1.7000000000000002
374,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.7114682424352906,-0.3377911185171746,0.4776874600934851,1.9
375,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,Amyg,LG,Amyg-LG,0.0684418760986163,-0.24509271087167867,0.3327837756453106,-0.9
376,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,Amyg,LG,Amyg-LG,0.16686441541793076,-0.27010384664149234,0.28859934723759756,-0.7000000000000001
377,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,Amyg,LG,Amyg-LG,0.2502683068302358,-0.252784095483444,0.3277946724147922,-0.5
378,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,Amyg,LG,Amyg-LG,0.07292768341592157,-0.251057095895996,0.3215164747964304,-0.30000000000000004
379,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,Amyg,LG,Amyg-LG,0.36855875502269514,-0.24266785295731963,0.34645976381150123,-0.1
380,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,Amyg,LG,Amyg-LG,-0.11091521992057929,-0.2692590389178633,0.3259662345199508,0.1
381,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,Amyg,LG,Amyg-LG,0.1845491959648031,-0.28446732356764237,0.31690262906538813,0.30000000000000004
