,subject,date,eid,region_1,region_2,region_pair,r_opto,r_baseline,time
145,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.42559350143784486,-0.027636758400181205,0.1
146,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.48053075295015324,0.027300493112127178,0.30000000000000004
147,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.5408194383180243,0.0875891784799982,0.5
148,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.5232096065432178,0.06997934670519174,0.7000000000000001
149,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.48511983872272624,0.031889578884700176,0.9
150,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.4339115626646246,-0.019318697173401456,1.1
151,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.5374112149777638,0.08418095513973772,1.3000000000000003
152,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.48141441743503954,0.02818415759701348,1.5
153,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.40690751142168546,-0.0463227484163406,1.7000000000000002
154,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.5083675900683159,0.05513733023028983,1.9
155,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.48088066773820887,0.027650407900182805,2.1
156,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.5296153361311516,0.07638507629312558,2.3000000000000003
157,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.45028212113679644,-0.002948138701229619,2.5
158,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.4397130940057489,-0.01351716583227719,2.7
159,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.5493487211573544,0.09611846131932839,2.9000000000000004
160,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Thal,MRN-Thal,0.5134719795556782,0.030048956158086504,-0.9
161,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Thal,MRN-Thal,0.48051350308960067,-0.002909520307991076,-0.7000000000000001
162,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Thal,MRN-Thal,0.4471256076662803,-0.036297415731311455,-0.5
163,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Thal,MRN-Thal,0.5485634486674892,0.06514042526989744,-0.30000000000000004
