subject,date,pid,probe,region,time,n_neurons,pca_dist
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.54,30,0.6377512796527299
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.56,30,0.9066785535564132
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.5800000000000001,30,0.14171585541018783
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.6,30,0.5552663059801757
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.62,30,0.3451960820939021
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.64,30,0.15549929293540193
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.66,30,0.041248793182526056
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.68,30,0.11645811147189247
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.7,30,0.11953553504249854
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.72,30,0.1818594735666966
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.74,30,0.29272506484504246
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.76,30,0.05556526897904447
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.78,30,0.17933333601800844
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.8,30,0.23791528724663683
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.8200000000000001,30,0.3780595200803394
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.8400000000000001,30,0.5585952096288391
